,ICSD_code,chemical_formula_sum,cell_length,space_group,date,latest
0,420031,D0.84 Ce1 Rh3,4.07248,P m -3 m,2010-02-01,True
1,420113,Cd17.93 Cs8 Sb28.07,12.1916,P m -3 n,2009-08-01,True
2,420114,Cs8 Sb28.11 Zn17.89,11.7054,P m -3 n,2009-08-01,True
3,420131,Cd0.9 Gd1 Ru0.1,3.7241,P m -3 m,2009-08-01,True
4,420132,Cd0.8 Gd1 Ru0.2,3.677,P m -3 m,2009-08-01,True
5,420139,Br7 Hg6 In1 Sb4,12.8542,P a -3,2010-02-01,True
6,420154,Bi21.33 I32 In8,20.162,F m -3 c,2009-08-01,True
7,420183,H606 K12 Li48 O573 U60,37.884,F m -3,2009-08-01,True
8,420192,Al0.48 Gd4 Mg0.52 Ni1,13.593,F -4 3 m,2010-02-01,True
9,420193,Al0.9 Gd4 Mg0.1 Ni1,13.514,F -4 3 m,2010-02-01,True
10,420224,Cd2.8 Cu2.2 P10,10.479,F -4 3 m,2009-08-01,True
11,420226,Cd3.2 Cu1.8 P10,10.461,F -4 3 m,2009-08-01,True
12,420370,Al2 Ca0.27 Sr0.73,8.212,F d -3 m Z,2009-08-01,True
13,420371,Al2 Ca0.58 Sr0.42,8.146,F d -3 m Z,2009-08-01,True
14,420420,H46 O23 Xe3.27,11.8574,P m -3 n,2010-02-01,True
15,420421,H46 O23 Xe3.22,11.5754,P m -3 n,2010-02-01,True
16,420444,C4 B1 F12 K1,9.9145,F m -3 m,2010-02-01,True
17,420475,Cs5.88 Rb2.12 Sn44,24.1764,I a -3 d,2010-02-01,True
18,420476,Cs6.58 Rb1.42 Sn44,24.1971,I a -3 d,2010-02-01,True
19,420477,Cs6.68 Rb1.32 Sn44,24.2015,I a -3 d,2010-02-01,True
20,420480,H18 Ca1 Na1 O12 P1 S1,10.7845,P 21 3,2010-08-01,True
21,420481,H18 Ba1 Na1 O12 P1 S1,11.02162,P 21 3,2010-08-01,True
22,420509,Al1.12 Yb1 Zn0.88,7.86,F d -3 m Z,2010-02-01,True
23,420672,La2 Mo2 O8.42,7.1377,P 21 3,2010-08-01,True
24,420706,Ca18.65 Eu2.35 Ni2 Zn36,21.5683,F d -3 m Z,2010-02-01,True
25,420818,Hg2 O7 Ru2,10.20109,F d -3 m Z,2010-02-01,True
26,420823,Ce2 O7.5 Zr2,10.61007,F -4 3 m,2010-08-01,True
27,420824,Ce1 O4 Zr1,10.54431,P 21 3,2010-08-01,True
28,420846,Ca17 Hg9 Li6,15.6012,I m -3 m,2010-02-01,True
29,420847,Hg9 Li6 Sr17,16.49,I m -3 m,2010-02-01,True
30,420934,Bi0.08 Cd0.82 Te0.97 Zn0.14,6.4309,F -4 3 m,2012-08-01,True
31,420935,Bi0.07 Cd0.97 Te0.86 Zn0.14,6.4375,F -4 3 m,2012-08-01,True
